# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Sun Apr 10 16:31:28 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 8.60206 0.3500000238 2.0434176922    0.350 -1.936  3.5133  4.923    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.55e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.609 14.693 13.267 11.761 10.541 9.127 7.751 7.122 6.863
0.0152 0.01508 8.60206 0.3665219247 2.0696945190    0.367 -1.884  3.5172  4.907    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -9.6e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.479 14.467 13.060 11.565 10.366 8.980 7.631 6.999 6.743
0.0152 0.01508 8.60206 0.4000000358 2.1185026169    0.400 -1.784  3.5247  4.875    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.2e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.230 14.053 12.674 11.198 10.036 8.703 7.400 6.764 6.514
0.0152 0.01508 8.60206 0.4442340732 2.1754074097    0.444 -1.649  3.5353  4.828    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.64e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.893 13.514 12.163 10.712 9.597 8.332 7.090 6.446 6.204
0.0152 0.01508 8.60206 0.4500000477 2.1822810173    0.450 -1.633  3.5366  4.822    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.7e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.852 13.450 12.100 10.653 9.543 8.286 7.051 6.406 6.166
0.0152 0.01508 8.60206 0.4508050978 2.1832315922    0.451 -1.630  3.5368  4.821    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.71e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.845 13.439 12.090 10.643 9.534 8.279 7.045 6.400 6.160
0.0152 0.01508 8.60206 0.5000000000 2.2374541759    0.500 -1.472  3.5519  4.769    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.48e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.451 12.817 11.478 10.058 9.004 7.844 6.689 6.033 5.804
0.0152 0.01508 8.60206 0.5164116621 2.2537560463    0.516 -1.423  3.5574  4.755    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.77e-15      0.00 7.094e-01 2.754e-01 2.744e-03 7.404e-04 6.715e-03 -1.000 1.526e-02 8.326 12.621 11.280 9.866 8.830 7.707 6.580 5.920 5.696
0.0152 0.01508 8.60206 0.5500000119 2.2836582661    0.550 -1.316  3.5703  4.728    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.54e-15      0.00 7.100e-01 2.748e-01 2.738e-03 7.387e-04 6.700e-03 -1.000 1.522e-02 8.061 12.199 10.847 9.444 8.447 7.414 6.350 5.681 5.469
0.0152 0.01508 8.60206 0.6000000238 2.3211214542    0.600 -1.156  3.5933  4.697    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.09e-15      0.00 7.102e-01 2.746e-01 2.737e-03 7.384e-04 6.697e-03 -1.000 1.519e-02 7.659 11.552 10.173 8.802 7.861 6.980 6.010 5.324 5.143
