# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Wed Apr  6 12:14:36 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 8.69897 0.7088462710 2.3820724487    0.709 -0.817  3.6504  4.659    0  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -1.06e-14      0.00 7.110e-01 2.738e-01 2.723e-03 7.363e-04 6.680e-03 -1.000 1.524e-02 6.813 9.959 8.625 7.455 6.669 6.091 5.303 4.652 4.552
0.0152 0.01508 8.69897 0.7500000000 2.3998889923    0.750 -0.698  3.6740  4.659    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.36e-14      0.00 7.110e-01 2.738e-01 2.694e-03 7.356e-04 6.682e-03 -1.000 1.521e-02 6.516 9.121 8.020 6.969 6.276 5.779 5.076 4.497 4.414
0.0152 0.01508 8.69897 0.8000000119 2.4187245369    0.800 -0.568  3.6941  4.638    0  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.82e-14      0.00 7.112e-01 2.736e-01 2.692e-03 7.351e-04 6.677e-03 -1.000 1.519e-02 6.191 8.364 7.472 6.514 5.898 5.449 4.815 4.299 4.226
0.0152 0.01508 8.69897 0.8500000238 2.4350347519    0.850 -0.445  3.7129  4.615    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.41e-14      0.00 7.115e-01 2.733e-01 2.689e-03 7.344e-04 6.671e-03 -1.000 1.512e-02 5.882 7.685 6.986 6.107 5.556 5.144 4.572 4.112 4.046
0.0152 0.01508 8.69897 0.9000000358 2.4492788315    0.899 -0.327  3.7301  4.592    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.15e-14      0.00 7.119e-01 2.730e-01 2.686e-03 7.337e-04 6.664e-03 -1.000 1.518e-02 5.588 7.085 6.556 5.743 5.244 4.860 4.343 3.929 3.870
0.0152 0.01508 8.69897 0.9337729812 2.4579136372    0.933 -0.250  3.7406  4.573    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.77e-14      0.00 7.122e-01 2.727e-01 2.684e-03 7.329e-04 6.658e-03 -1.000 1.515e-02 5.396 6.717 6.284 5.514 5.045 4.679 4.194 3.806 3.752
0.0152 0.01508 8.69897 0.9500000477 2.4618122578    0.950 -0.215  3.7455  4.564    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -4.1e-14      0.00 7.123e-01 2.725e-01 2.682e-03 7.326e-04 6.655e-03 -1.000 1.514e-02 5.307 6.538 6.159 5.409 4.955 4.598 4.127 3.751 3.699
0.0152 0.01508 8.69897 1.0000000000 2.4729156494    1.000 -0.106  3.7596  4.535    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -5.3e-14      0.00 7.130e-01 2.719e-01 2.678e-03 7.312e-04 6.642e-03 -1.000 1.511e-02 5.036 6.038 5.795 5.103 4.688 4.352 3.919 3.575 3.530
0.0152 0.01508 8.69897 1.0499999523 2.4828116894    1.050 -0.002  3.7723  4.503    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.34e-14      0.00 7.139e-01 2.711e-01 2.670e-03 7.292e-04 6.624e-03 -1.000 1.503e-02 4.776 5.600 5.456 4.819 4.436 4.120 3.721 3.404 3.365
0.0152 0.01508 8.69897 1.1000000238 2.4916803837    1.099  0.097  3.7837  4.469    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -7.48e-14      0.00 7.154e-01 2.696e-01 2.658e-03 7.259e-04 6.595e-03 -1.000 1.499e-02 4.527 5.210 5.139 4.552 4.197 3.900 3.530 3.237 3.203
0.0152 0.01508 8.69897 1.1218924522 2.4952783585    1.121  0.140  3.7884  4.453    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -8e-14      0.00 7.162e-01 2.688e-01 2.651e-03 7.241e-04 6.578e-03 -1.000 1.494e-02 4.420 5.055 5.008 4.440 4.097 3.806 3.448 3.164 3.132
0.0152 0.01508 8.69897 1.1499999762 2.4996678829    1.149  0.193  3.7942  4.434    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -8.7e-14      0.00 7.175e-01 2.677e-01 2.641e-03 7.214e-04 6.555e-03 -1.000 1.489e-02 4.287 4.864 4.843 4.301 3.970 3.689 3.345 3.072 3.043
0.0152 0.01508 8.69897 1.2000000477 2.5068950653    1.199  0.285  3.8041  4.400    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -9.95e-14      0.00 7.176e-01 2.675e-01 2.644e-03 7.223e-04 6.563e-03 -1.000 1.492e-02 4.056 4.548 4.562 4.062 3.753 3.488 3.167 2.913 2.888
0.0152 0.01508 8.69897 1.2500000000 2.5134611130    1.250  0.373  3.8135  4.368    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.12e-13      0.00 7.177e-01 2.674e-01 2.644e-03 7.224e-04 6.565e-03 -1.000 1.492e-02 3.837 4.262 4.298 3.836 3.548 3.297 2.998 2.763 2.741
0.0152 0.01508 8.69897 1.2999999523 2.5194499493    1.300  0.456  3.8226  4.338    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.22e-13      0.00 7.179e-01 2.672e-01 2.643e-03 7.220e-04 6.560e-03 -1.000 1.493e-02 3.630 4.008 4.051 3.622 3.351 3.115 2.837 2.620 2.600
0.0152 0.01508 8.69897 1.3500001431 2.5249314308    1.350  0.535  3.8318  4.312    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.29e-13      0.00 7.177e-01 2.673e-01 2.644e-03 7.224e-04 6.564e-03 -1.000 1.492e-02 3.432 3.770 3.816 3.418 3.165 2.944 2.687 2.489 2.470
0.0152 0.01508 8.69897 1.4000000954 2.5299651623    1.400  0.610  3.8412  4.291    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.32e-13      0.00 7.178e-01 2.673e-01 2.644e-03 7.223e-04 6.563e-03 -1.000 1.490e-02 3.245 3.552 3.592 3.224 2.990 2.786 2.550 2.370 2.353
0.0152 0.01508 8.69897 1.4500000477 2.5346016884    1.450  0.682  3.8516  4.276    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -1.3e-13      0.00 7.179e-01 2.671e-01 2.642e-03 7.218e-04 6.559e-03 -1.000 1.491e-02 3.066 3.344 3.377 3.040 2.826 2.640 2.427 2.267 2.252
0.0152 0.01508 8.69897 1.5000000000 2.5388846397    1.500  0.751  3.8635  4.269    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.21e-13      0.00 7.181e-01 2.669e-01 2.640e-03 7.214e-04 6.555e-03 -1.000 1.491e-02 2.893 3.145 3.165 2.862 2.671 2.507 2.320 2.182 2.168
0.0152 0.01508 8.69897 1.5102201700 2.5397200584    1.510  0.765  3.8662  4.269    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.17e-13      0.00 7.182e-01 2.669e-01 2.640e-03 7.213e-04 6.554e-03 -1.000 1.491e-02 2.858 3.106 3.123 2.826 2.641 2.481 2.300 2.167 2.153
0.0152 0.01508 8.69897 1.5499999523 2.5428512096    1.550  0.818  3.8761  4.267    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-13      0.00 7.184e-01 2.667e-01 2.639e-03 7.209e-04 6.551e-03 -1.000 1.491e-02 2.726 2.957 2.962 2.691 2.526 2.384 2.223 2.108 2.095
0.0152 0.01508 8.69897 1.5874657631 2.5456359386    1.587  0.866  3.8851  4.266    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -8.51e-14      0.00 7.186e-01 2.666e-01 2.637e-03 7.206e-04 6.548e-03 -1.000 1.487e-02 2.606 2.825 2.817 2.570 2.423 2.297 2.155 2.056 2.044
0.0152 0.01508 8.69897 1.6000000238 2.5465342999    1.600  0.881  3.8880  4.265    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -7.96e-14      0.00 7.186e-01 2.665e-01 2.637e-03 7.205e-04 6.547e-03 -1.000 1.486e-02 2.567 2.781 2.770 2.530 2.389 2.269 2.132 2.038 2.026
0.0152 0.01508 8.69897 1.6500000954 2.5499615669    1.649  0.942  3.8987  4.260    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.54e-14      0.00 7.187e-01 2.664e-01 2.636e-03 7.202e-04 6.545e-03 -1.000 1.492e-02 2.414 2.617 2.591 2.379 2.259 2.159 2.043 1.965 1.954
0.0152 0.01508 8.69897 1.6946914196 2.5528290272    1.694  0.995  3.9071  4.252    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.57e-29      0.00 7.188e-01 2.663e-01 2.635e-03 7.200e-04 6.543e-03 -1.000 1.485e-02 2.283 2.477 2.440 2.252 2.149 2.063 1.963 1.898 1.887
0.0152 0.01508 8.69897 1.7000000477 2.5531582832    1.699  1.001  3.9081  4.251    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.189e-01 2.663e-01 2.635e-03 7.200e-04 6.543e-03 -1.000 1.484e-02 2.267 2.461 2.422 2.237 2.136 2.052 1.953 1.890 1.879
0.0152 0.01508 8.69897 1.7500000000 2.5561456680    1.749  1.058  3.9166  4.241    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.189e-01 2.662e-01 2.634e-03 7.198e-04 6.541e-03 -1.000 1.489e-02 2.125 2.310 2.263 2.103 2.018 1.948 1.864 1.812 1.802
0.0152 0.01508 8.69897 1.7537180185 2.5563600063    1.753  1.062  3.9172  4.240    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.189e-01 2.662e-01 2.634e-03 7.198e-04 6.541e-03 -1.000 1.489e-02 2.115 2.299 2.251 2.093 2.010 1.941 1.858 1.806 1.796
0.0152 0.01508 8.69897 1.7999999523 2.5589430332    1.799  1.113  3.9243  4.229    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.190e-01 2.661e-01 2.634e-03 7.197e-04 6.540e-03 -1.000 1.488e-02 1.987 2.164 2.111 1.974 1.903 1.846 1.774 1.732 1.722
